name,building_name,floor,room,category,description
유세포분석실,의산연01,1F,1010-1,연구,
의공학교실사무실,의산연01,B1F,B103,행정,
의공학교실연구소,의산연01,B1F,B102,연구,
의과학자교육연구단,의산연01,1F,1005,연구,미래인재형
의학물리실,의산연01,B1F,B107,연구,좌
의학물리실,의산연01,B1F,B108,연구,우
이비인후과/신경과/내분비내과,의산연01,4F,4005,진료,
이비인후과/신경과/내분비내과,의산연01,4F,4005,진료,
이비인후과/외과/정형외과,의산연01,4F,4010,진료,
이비인후과/외과/정형외과,의산연01,4F,4010,진료,
재료실,의산연01,B1F,B109,연구,
저온실,의산연01,1F,1014,연구,
정보융합센터장실,의산연01,2F,2020,사무,
정보융합센터장실,의산연01,2F,2020,사무,
정보전략팀 서버실,의산연01,2F,2001,시설,서버실
정보전략팀 서버실,의산연01,2F,2001,시설,서버실
조직표본제작실,의산연01,1F,1019,연구,
조직표본제작실,의산연01,1F,1020,연구,
진단검사의학/혈액내과,의산연01,4F,4004,진료,
진단검사의학/혈액내과,의산연01,4F,4004,진료,
창고,의산연01,B1F,B121,시설,지하연결통로
초저온냉동고실,의산연01,B1F,B113,시설,
초저온냉동고실,의산연01,B1F,B113-1,시설,펜룸
통합관제실,의산연01,B1F,,시설,
품질관리실,의산연01,2F,2008,연구,
품질관리실,의산연01,2F,2008,연구,
한국가톨릭의료협회,의산연01,2F,2013,기관,
한국가톨릭의료협회,의산연01,2F,2013,기관,
현미경실,의산연01,1F,1010-3,연구,
회의실,의산연01,2F,2019,회의,2018호 회의실
회의실,의산연01,2F,2019,회의,2018호 회의실
106호회의실,대학본관,1F,,,
AED,대학본관,3F,,시설,자동심장충격기
CMA검사실,대학본관,4F,,검사,
CPR교육사무실,대학본관,B1F,,,
CPR교육실,대학본관,B1F,,심폐소생술,
DTx임상인증센터,대학본관,2F,,연구,
EPS실,대학본관,6F,,시설,
FISH검사실,대학본관,4F,,검사,
GX실,대학본관,3F,,편의,라파엘라운지 내부
HAVEST실,대학본관,4F,,연구,
IT사업프로토콜실,대학본관,2F,,연구,
TPS실,대학본관,6F,,시설,
간호대학강의실203,대학본관,2F,,교육,
간호대학강의실301,대학본관,3F,,교육,
간호대학강의실302,대학본관,3F,,교육,
간호대학강의실401,대학본관,4F,,교육,
간호대학강의실402,대학본관,4F,,교육,
간호대학실습준비실남,대학본관,3F,,교육,
간호대학실습준비실여,대학본관,3F,,교육,
갱의실남,대학본관,4F,,편의,
갱의실여,대학본관,4F,,편의,
고객행복팀,대학본관,1F,,,
공실,대학본관,5F,,기타,
공실1,대학본관,4F,,기타,
공실2,대학본관,4F,,기타,
공실3,대학본관,4F,,기타,
공실4,대학본관,4F,,기타,
공용라운지,대학본관,3F,,편의,라파엘라운지 내부
공용창고,대학본관,2F,,시설,공사 예정
구CRC실,대학본관,B1F,,,
구매관리팀,대학본관,1F,,,
국제보건의료연구소403,대학본관,4F,,연구,예정
국제보건의료연구소404,대학본관,4F,,연구,예정
근골격판독실,대학본관,3F,,의료,
급식실사무실,대학본관,B1F,,,
기계실,대학본관,B1F,,,
기록보관실,대학본관,4F,,시설,세포유전Unit
기획팀,대학본관,1F,,,
냉동고실,대학본관,4F,,시설,세포유전Unit
냉장고실,대학본관,4F,,시설,세포유전Unit
노동조합,대학본관,B1F,,전국민노동조합,
노사협력팀,대학본관,1F,,,
노조사무실,대학본관,1F,,,
노화대사질환연구소,대학본관,4F,,연구,
다목적세미나실,대학본관,2F,,교육,
대건사무실,대학본관,B1F,,,
대외협력부원장실,대학본관,2F,,행정,
대학원강사대기실,대학본관,3F,,교육,
대학원학생연구실,대학본관,3F,,연구,보건의료경영
대회의실,대학본관,2F,,공용,
라파엘라운지,대학본관,3F,,편의,노사협력팀 관리
릴렉스실,대학본관,3F,,편의,라파엘라운지 내부
미화창고,대학본관,4F,,시설,
병동지원Unit,대학본관,B1F,,,
병리과교수실,대학본관,3F,,사무,
병원통합행정사무실,대학본관,1F,,,
보건의료경영대학원세미나실,대학본관,3F,,교육,
보건의료경영대학원실습실204,대학본관,2F,,교육,
보건의료경영대학원조교실,대학본관,3F,,사무,
보건의료경영실습준비실205,대학본관,2F,,교육,
보건의료경영연구소,대학본관,3F,,연구,가톨릭
부원장실,대학본관,2F,,행정,
비서실,대학본관,2F,,행정,
빅데이터통합센터1,대학본관,2F,,연구,
빅데이터통합센터2,대학본관,2F,,연구,
빅데이터통합센터3,대학본관,2F,,연구,
생명사랑상담실,대학본관,1F,,,
생명사랑위기대응센터,대학본관,1F,,,
성의문화사,대학본관,B1F,,,
세미나실,대학본관,3F,,교육,
세포배양실,대학본관,4F,,연구,
세포유전Unit,대학본관,4F,,연구,
세포유전자검사실,대학본관,4F,,검사,
소아완화의료팀,대학본관,1F,,솔솔바람,
소회의실,대학본관,2F,,공용,
수면실,대학본관,3F,,편의,안전보건관리팀
시설팀,대학본관,B1F,,,
시청각실201,대학본관,2F,,교육,201호
시청각실202,대학본관,2F,,교육,202호
신경과임상연구실,대학본관,B1F,,신경심리검사 포함,
신장내과임상연구지원실,대학본관,B1F,,공실,
심뇌혈관병원운영팀,대학본관,4F,,행정,팀장실/갱의실/회의실
안은행,대학본관,B1F,,안구은행,
안전보건관리팀,대학본관,3F,,행정,
암병원갱의실,대학본관,5F,,편의,
암병원운영팀,대학본관,5F,,행정,
암병원창고,대학본관,5F,,시설,
암병원팀장실,대학본관,5F,,사무,
암병원회의실1,대학본관,1F,,,
암병원회의실2,대학본관,5F,,공용,
연구과제추진실,대학본관,2F,,연구,
연구실,대학본관,2F,,연구,
연구실,대학본관,3F,,연구,
연구실,대학본관,4F,,연구,
염색체검사실,대학본관,4F,,검사,
영상의학과판독실,대학본관,3F,,의료,인터벤션/근골격
영상촬영스튜디오,대학본관,5F,,시설,
영선반,대학본관,B1F,,,
영성부장실,대학본관,2F,,행정,
영성부회합실,대학본관,B1F,,,
원목사무실,대학본관,2F,,행정,영성부장실 포함
원장실,대학본관,2F,,행정,의료원 보직자실
의과대학실습준비실,대학본관,3F,,교육,3/4학년
의료데이터중심병원사무국,대학본관,2F,,행정,총괄
의료윤리사무국,대학본관,1F,,사전연명치료 상담,
의무기록팀,대학본관,5F,,행정,
의무기록팀갱의실,대학본관,5F,,편의,
의무기록팀장실,대학본관,5F,,사무,
의무기록팀창고,대학본관,5F,,시설,
의무기록팀회의실,대학본관,5F,,공용,
인사팀,대학본관,1F,,,
임상교수실,대학본관,2F,,사무,
임상교수실,대학본관,3F,,사무,
임상교수실,대학본관,4F,,사무,
임상교수실,대학본관,5F,,사무,
임상교수실,대학본관,6F,,사무,
임상교수실(학교),대학본관,3F,,사무,
임상사무실,대학본관,5F,,사무,
임상연구코디네이터실1,대학본관,B1F,,CRC1,
임상연구코디네이터실2,대학본관,B1F,,CRC2,
임상연구코디네이터실3,대학본관,B1F,,CRC3,
임상치과대학원,대학본관,3F,,교육,
자료보관실,대학본관,5F,,시설,별관 B2 / 직원동행 필수
재무팀,대학본관,1F,,,
전공의의국,대학본관,3F,,사무,
전산교육실,대학본관,B1F,,,
정맥Unit,대학본관,B1F,,,
정보보호팀,대학본관,2F,,행정,
정보보호팀(학교),대학본관,2F,,행정,
정보분석실,대학본관,2F,,연구,
정보운영팀,대학본관,2F,,행정,
정보융합연구팀,대학본관,2F,,연구,
정보융합진흥원,대학본관,2F,,행정,
정보융합진흥원장실,대학본관,2F,,행정,
정보융합팀,대학본관,2F,,연구,
정보전략기획팀,대학본관,2F,,행정,
정보전략팀,대학본관,2F,,행정,서울성모병원
조혈모세포보관실,대학본관,4F,,시설,
중앙의료원교육실,대학본관,3F,,교육,
직원식당,대학본관,1F,,,
진단검사의학과검사실,대학본관,4F,,검사,
진단검사의학과교수실,대학본관,4F,,사무,
진단검사의학과냉동고실,대학본관,4F,,시설,
진단검사의학과냉장고실,대학본관,4F,,시설,
진단검사의학과창고,대학본관,4F,,시설,
진단검사의학과평가검사실,대학본관,4F,,검사,
진료협력팀,대학본관,1F,,,
진료협력팀갱의실,대학본관,1F,,,
진료협력팀창고,대학본관,1F,,,
진료협력팀회의실,대학본관,1F,,,
초저온냉동고저장실,대학본관,B1F,,,
총무팀,대학본관,1F,,,
총무팀임시창고,대학본관,4F,,시설,
탕비실,대학본관,3F,,편의,라파엘라운지 내부
택배보관실,대학본관,1F,,119호,
판독실,대학본관,4F,,의료,세포유전Unit
평생건강증진팀,대학본관,1F,,,
평생교육원강의실,대학본관,B1F,,,
프라이빗룸,대학본관,3F,,편의,라파엘라운지 내부
학생식당,대학본관,1F,,,
학생실습준비실,대학본관,3F,,교육,
혈관인터벤션판독실,대학본관,3F,,의료,
혈액병원운영팀,대학본관,B1F,,전문간호사실6,
혈액병원운영팀,대학본관,4F,,행정,팀장실/갱의실/회의실
