name,campus,building,floor,category,description,hours
응급신속대응팀,성의교정,서울성모병원,6,의료,SALT팀,
응급실,성의교정,서울성모병원,1,,진료,
응급의학과의국,성의교정,서울성모병원,-1,,사무,
의공학팀,성의교정,서울성모병원,-1,,사무,
의료기상사,성의교정,서울성모병원,-1,,상업,
의무기록,성의교정,서울성모병원,1,원무,제증명 발급,평일 08:00~19:00 / 토 08:00~13:00
이발소,성의교정,서울성모병원,-1,,상업,
이비인후과,성의교정,서울성모병원,3,진료,,
이비인후과병동,성의교정,서울성모병원,8,병동,08-02,
이비인후과의국,성의교정,서울성모병원,7,사무,,
이식병동,성의교정,서울성모병원,19,병동,무균실,
인공신장실,성의교정,서울성모병원,1,,진료,
인공와우센터,성의교정,서울성모병원,3,진료,,
인지기능검사,성의교정,서울성모병원,3,검사,,
임상시험모니터링실,성의교정,서울성모병원,6,연구,,
임상심리검사,성의교정,서울성모병원,3,검사,,
입원원무팀,성의교정,서울성모병원,1,원무,자보/산재/감면 처리,평일/토 08:00~17:00
입원의학과병동,성의교정,서울성모병원,13,병동,,
입퇴원수속,성의교정,서울성모병원,1,원무,연중무휴 운영,매일 08:00~17:00
자기장치료실,성의교정,서울성모병원,4,치료,,
자기치료,성의교정,서울성모병원,3,치료,,
자율신경검사,성의교정,서울성모병원,1,,검사,
자율신경검사,성의교정,서울성모병원,3,검사,,
자판기,성의교정,서울성모병원,2,편의,,
자판기,성의교정,서울성모병원,3,편의,,
잔뇨초음파,성의교정,서울성모병원,4,검사,,
장기이식센터,성의교정,서울성모병원,2,진료,,
장기이식센터병동,성의교정,서울성모병원,11,병동,11-02,
재활의학과,성의교정,서울성모병원,2,진료,,
재활의학과병동,성의교정,서울성모병원,8,병동,08-01,
재활의학과병동,성의교정,서울성모병원,12,병동,12-01,
재활의학과옆수납,성의교정,서울성모병원,2,원무,,
재활의학과의국,성의교정,서울성모병원,12,사무,,
적외선체열검사,성의교정,서울성모병원,2,검사,,
전기팀,성의교정,서울성모병원,-6,,사무,
전담간호사실,성의교정,서울성모병원,-1,,의료,
전담간호사실,성의교정,서울성모병원,6,사무,,
정수기관리요청,성의교정,서울성모병원,1,안내,외래원무팀 문의,
정신건강의학과,성의교정,서울성모병원,3,진료,,
정신과,성의교정,서울성모병원,3,진료,,
정형외과,성의교정,서울성모병원,2,진료,과내 초음파,
정형외과병동,성의교정,서울성모병원,7,병동,07-01,
정형외과의국,성의교정,서울성모병원,7,사무,,
정화조,성의교정,서울성모병원,-5,,시설,
제2혈액병원주사실,성의교정,서울성모병원,6,의료,,
조갑주름모세혈관검사,성의교정,서울성모병원,2,검사,,
조혈모세포이식센터,성의교정,서울성모병원,3,진료,,
종양내과,성의교정,서울성모병원,3,진료,,
종양내과병동,성의교정,서울성모병원,15,병동,,
